,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
2,2,2012,PF,AC,PF - Empregado de empresa privada,6786123.2,ACRE
9,9,2012,PF,AL,PF - Empregado de empresa privada,46927283.53,ALAGOAS
16,16,2012,PF,AM,PF - Empregado de empresa privada,117671710.27,AMAZONAS
23,23,2012,PF,AP,PF - Empregado de empresa privada,9851287.17,AMAPÁ
30,30,2012,PF,BA,PF - Empregado de empresa privada,353268836.25,BAHIA
37,37,2012,PF,CE,PF - Empregado de empresa privada,121414016.12,CEARÁ
44,44,2012,PF,DF,PF - Empregado de empresa privada,218616222.2,DISTRITO FEDERAL
51,51,2012,PF,ES,PF - Empregado de empresa privada,158217596.25,ESPÍRITO SANTO
58,58,2012,PF,GO,PF - Empregado de empresa privada,243248811.66,GOIÁS
65,65,2012,PF,MA,PF - Empregado de empresa privada,82010503.26,MARANHÃO
72,72,2012,PF,MG,PF - Empregado de empresa privada,732673842.8100001,MINAS GERAIS
79,79,2012,PF,MS,PF - Empregado de empresa privada,85691417.61,MATO GROSSO DO SUL
86,86,2012,PF,MT,PF - Empregado de empresa privada,151021468.87,MATO GROSSO
93,93,2012,PF,PA,PF - Empregado de empresa privada,109127680.93,PARÁ
100,100,2012,PF,PB,PF - Empregado de empresa privada,46848885.53,PARAÍBA
107,107,2012,PF,PE,PF - Empregado de empresa privada,168930151.82,PERNAMBUCO
114,114,2012,PF,PI,PF - Empregado de empresa privada,20670657.66,PIAUÍ
121,121,2012,PF,PR,PF - Empregado de empresa privada,577725400.18,PARANÁ
128,128,2012,PF,RJ,PF - Empregado de empresa privada,1070884719.1,RIO DE JANEIRO
136,136,2012,PF,RN,PF - Empregado de empresa privada,54135216.25,RIO GRANDE DO NORTE
143,143,2012,PF,RO,PF - Empregado de empresa privada,27077900.09,RONDÔNIA
150,150,2012,PF,RR,PF - Empregado de empresa privada,5512480.66,RORAIMA
157,157,2012,PF,RS,PF - Empregado de empresa privada,625098188.25,RIO GRANDE DO SUL
165,165,2012,PF,SC,PF - Empregado de empresa privada,329447537.66,SANTA CATARINA
172,172,2012,PF,SE,PF - Empregado de empresa privada,41522580.0,SERGIPE
179,179,2012,PF,SP,PF - Empregado de empresa privada,4642952130.44,SÃO PAULO
187,187,2012,PF,TO,PF - Empregado de empresa privada,22157620.22,TOCANTINS
721,2,2013,PF,AC,PF - Empregado de empresa privada,10019716.5,ACRE
728,9,2013,PF,AL,PF - Empregado de empresa privada,57389477.67,ALAGOAS
735,16,2013,PF,AM,PF - Empregado de empresa privada,143896123.06,AMAZONAS
742,23,2013,PF,AP,PF - Empregado de empresa privada,8919531.72,AMAPÁ
749,30,2013,PF,BA,PF - Empregado de empresa privada,416969293.69,BAHIA
756,37,2013,PF,CE,PF - Empregado de empresa privada,135026724.15,CEARÁ
763,44,2013,PF,DF,PF - Empregado de empresa privada,246567614.16,DISTRITO FEDERAL
770,51,2013,PF,ES,PF - Empregado de empresa privada,182348624.84,ESPÍRITO SANTO
777,58,2013,PF,GO,PF - Empregado de empresa privada,252299903.27,GOIÁS
784,65,2013,PF,MA,PF - Empregado de empresa privada,97090922.66,MARANHÃO
791,72,2013,PF,MG,PF - Empregado de empresa privada,855286188.22,MINAS GERAIS
798,79,2013,PF,MS,PF - Empregado de empresa privada,88677324.96,MATO GROSSO DO SUL
805,86,2013,PF,MT,PF - Empregado de empresa privada,146606814.26,MATO GROSSO
812,93,2013,PF,PA,PF - Empregado de empresa privada,136847581.43,PARÁ
819,100,2013,PF,PB,PF - Empregado de empresa privada,54928998.730000004,PARAÍBA
827,108,2013,PF,PE,PF - Empregado de empresa privada,196134294.88,PERNAMBUCO
834,115,2013,PF,PI,PF - Empregado de empresa privada,24972989.26,PIAUÍ
841,122,2013,PF,PR,PF - Empregado de empresa privada,632947516.87,PARANÁ
848,129,2013,PF,RJ,PF - Empregado de empresa privada,1243990482.76,RIO DE JANEIRO
856,137,2013,PF,RN,PF - Empregado de empresa privada,58654272.65,RIO GRANDE DO NORTE
863,144,2013,PF,RO,PF - Empregado de empresa privada,29850374.85,RONDÔNIA
870,151,2013,PF,RR,PF - Empregado de empresa privada,6115305.46,RORAIMA
877,158,2013,PF,RS,PF - Empregado de empresa privada,662206290.9,RIO GRANDE DO SUL
885,166,2013,PF,SC,PF - Empregado de empresa privada,368932169.12,SANTA CATARINA
892,173,2013,PF,SE,PF - Empregado de empresa privada,49333307.77,SERGIPE
899,180,2013,PF,SP,PF - Empregado de empresa privada,5168631765.56,SÃO PAULO
907,188,2013,PF,TO,PF - Empregado de empresa privada,23554181.9,TOCANTINS
1444,2,2014,PF,AC,PF - Empregado de empresa privada,9951759.64,ACRE
1451,9,2014,PF,AL,PF - Empregado de empresa privada,57704972.42,ALAGOAS
1458,16,2014,PF,AM,PF - Empregado de empresa privada,138234102.53,AMAZONAS
1465,23,2014,PF,AP,PF - Empregado de empresa privada,9215466.03,AMAPÁ
1472,30,2014,PF,BA,PF - Empregado de empresa privada,401970000.23,BAHIA
1479,37,2014,PF,CE,PF - Empregado de empresa privada,137116358.53,CEARÁ
1486,44,2014,PF,DF,PF - Empregado de empresa privada,232496450.73000002,DISTRITO FEDERAL
1493,51,2014,PF,ES,PF - Empregado de empresa privada,192851875.81,ESPÍRITO SANTO
1500,58,2014,PF,GO,PF - Empregado de empresa privada,275746439.53,GOIÁS
1507,65,2014,PF,MA,PF - Empregado de empresa privada,92403114.71,MARANHÃO
1514,72,2014,PF,MG,PF - Empregado de empresa privada,861089042.71,MINAS GERAIS
1521,79,2014,PF,MS,PF - Empregado de empresa privada,92729342.03,MATO GROSSO DO SUL
1528,86,2014,PF,MT,PF - Empregado de empresa privada,158135964.36,MATO GROSSO
1535,93,2014,PF,PA,PF - Empregado de empresa privada,134180932.69,PARÁ
1542,100,2014,PF,PB,PF - Empregado de empresa privada,54489399.69,PARAÍBA
1550,108,2014,PF,PE,PF - Empregado de empresa privada,205162308.45,PERNAMBUCO
1557,115,2014,PF,PI,PF - Empregado de empresa privada,22848545.59,PIAUÍ
1564,122,2014,PF,PR,PF - Empregado de empresa privada,614036854.59,PARANÁ
1571,129,2014,PF,RJ,PF - Empregado de empresa privada,1256421435.22,RIO DE JANEIRO
1579,137,2014,PF,RN,PF - Empregado de empresa privada,63845901.34,RIO GRANDE DO NORTE
1586,144,2014,PF,RO,PF - Empregado de empresa privada,29876243.15,RONDÔNIA
1593,151,2014,PF,RR,PF - Empregado de empresa privada,5373263.79,RORAIMA
1600,158,2014,PF,RS,PF - Empregado de empresa privada,693603482.22,RIO GRANDE DO SUL
1608,166,2014,PF,SC,PF - Empregado de empresa privada,344427336.6,SANTA CATARINA
1615,173,2014,PF,SE,PF - Empregado de empresa privada,50207125.81,SERGIPE
1622,180,2014,PF,SP,PF - Empregado de empresa privada,5075436490.67,SÃO PAULO
1630,188,2014,PF,TO,PF - Empregado de empresa privada,26938163.35,TOCANTINS
2170,2,2015,PF,AC,PF - Empregado de empresa privada,8661622.44,ACRE
2177,9,2015,PF,AL,PF - Empregado de empresa privada,55705026.45,ALAGOAS
2184,16,2015,PF,AM,PF - Empregado de empresa privada,148840161.67,AMAZONAS
2191,23,2015,PF,AP,PF - Empregado de empresa privada,10957466.86,AMAPÁ
2198,30,2015,PF,BA,PF - Empregado de empresa privada,439640059.83,BAHIA
2205,37,2015,PF,CE,PF - Empregado de empresa privada,143873578.94,CEARÁ
2212,44,2015,PF,DF,PF - Empregado de empresa privada,249517528.06,DISTRITO FEDERAL
2219,51,2015,PF,ES,PF - Empregado de empresa privada,185099997.64000002,ESPÍRITO SANTO
2226,58,2015,PF,GO,PF - Empregado de empresa privada,313162839.91,GOIÁS
2233,65,2015,PF,MA,PF - Empregado de empresa privada,91160040.6,MARANHÃO
2240,72,2015,PF,MG,PF - Empregado de empresa privada,929383280.52,MINAS GERAIS
2247,79,2015,PF,MS,PF - Empregado de empresa privada,113737333.01,MATO GROSSO DO SUL
2254,86,2015,PF,MT,PF - Empregado de empresa privada,197040177.29,MATO GROSSO
2261,93,2015,PF,PA,PF - Empregado de empresa privada,147883495.38,PARÁ
2268,100,2015,PF,PB,PF - Empregado de empresa privada,53516017.35,PARAÍBA
2276,108,2015,PF,PE,PF - Empregado de empresa privada,224151113.32,PERNAMBUCO
2283,115,2015,PF,PI,PF - Empregado de empresa privada,25976401.5,PIAUÍ
2290,122,2015,PF,PR,PF - Empregado de empresa privada,642494118.46,PARANÁ
2297,129,2015,PF,RJ,PF - Empregado de empresa privada,1336929718.0,RIO DE JANEIRO
2305,137,2015,PF,RN,PF - Empregado de empresa privada,66434545.85,RIO GRANDE DO NORTE
2312,144,2015,PF,RO,PF - Empregado de empresa privada,31250414.03,RONDÔNIA
2319,151,2015,PF,RR,PF - Empregado de empresa privada,6323726.38,RORAIMA
2326,158,2015,PF,RS,PF - Empregado de empresa privada,738307502.89,RIO GRANDE DO SUL
2334,166,2015,PF,SC,PF - Empregado de empresa privada,358248544.44,SANTA CATARINA
2341,173,2015,PF,SE,PF - Empregado de empresa privada,54098964.16,SERGIPE
2348,180,2015,PF,SP,PF - Empregado de empresa privada,5138655542.7,SÃO PAULO
2356,188,2015,PF,TO,PF - Empregado de empresa privada,30359583.12,TOCANTINS
2896,2,2016,PF,AC,PF - Empregado de empresa privada,9531557.81,ACRE
2904,10,2016,PF,AL,PF - Empregado de empresa privada,75195467.02,ALAGOAS
2912,18,2016,PF,AM,PF - Empregado de empresa privada,154398211.87,AMAZONAS
2920,26,2016,PF,AP,PF - Empregado de empresa privada,11165772.98,AMAPÁ
2928,34,2016,PF,BA,PF - Empregado de empresa privada,509192071.29,BAHIA
2936,42,2016,PF,CE,PF - Empregado de empresa privada,203470210.64,CEARÁ
2944,50,2016,PF,DF,PF - Empregado de empresa privada,284333102.48,DISTRITO FEDERAL
2952,58,2016,PF,ES,PF - Empregado de empresa privada,234246860.07,ESPÍRITO SANTO
2960,66,2016,PF,GO,PF - Empregado de empresa privada,468319372.95,GOIÁS
2968,74,2016,PF,MA,PF - Empregado de empresa privada,119056359.77,MARANHÃO
2976,82,2016,PF,MG,PF - Empregado de empresa privada,1010190668.22,MINAS GERAIS
2984,90,2016,PF,MS,PF - Empregado de empresa privada,159973750.93,MATO GROSSO DO SUL
2992,98,2016,PF,MT,PF - Empregado de empresa privada,220441548.99,MATO GROSSO
3000,106,2016,PF,PA,PF - Empregado de empresa privada,205213655.59,PARÁ
3008,114,2016,PF,PB,PF - Empregado de empresa privada,71714786.6,PARAÍBA
3016,122,2016,PF,PE,PF - Empregado de empresa privada,260918789.15,PERNAMBUCO
3024,130,2016,PF,PI,PF - Empregado de empresa privada,41172580.89,PIAUÍ
3032,138,2016,PF,PR,PF - Empregado de empresa privada,780341598.02,PARANÁ
3040,146,2016,PF,RJ,PF - Empregado de empresa privada,1348508454.64,RIO DE JANEIRO
3048,154,2016,PF,RN,PF - Empregado de empresa privada,89501728.19,RIO GRANDE DO NORTE
3056,162,2016,PF,RO,PF - Empregado de empresa privada,42864856.48,RONDÔNIA
3064,170,2016,PF,RR,PF - Empregado de empresa privada,7646174.36,RORAIMA
3072,178,2016,PF,RS,PF - Empregado de empresa privada,731054497.64,RIO GRANDE DO SUL
3080,186,2016,PF,SC,PF - Empregado de empresa privada,469678861.72,SANTA CATARINA
3088,194,2016,PF,SE,PF - Empregado de empresa privada,61798982.11,SERGIPE
3096,202,2016,PF,SP,PF - Empregado de empresa privada,5012024402.49,SÃO PAULO
3104,210,2016,PF,TO,PF - Empregado de empresa privada,39173584.39,TOCANTINS
3652,2,2017,PF,AC,PF - Empregado de empresa privada,13766283.209999999,ACRE
3660,10,2017,PF,AL,PF - Empregado de empresa privada,111476205.34,ALAGOAS
3668,18,2017,PF,AM,PF - Empregado de empresa privada,198028366.25,AMAZONAS
3676,26,2017,PF,AP,PF - Empregado de empresa privada,17920934.59,AMAPÁ
3684,34,2017,PF,BA,PF - Empregado de empresa privada,719639678.04,BAHIA
3692,42,2017,PF,CE,PF - Empregado de empresa privada,296156850.04,CEARÁ
3700,50,2017,PF,DF,PF - Empregado de empresa privada,378693089.46,DISTRITO FEDERAL
3708,58,2017,PF,ES,PF - Empregado de empresa privada,326588607.21999997,ESPÍRITO SANTO
3716,66,2017,PF,GO,PF - Empregado de empresa privada,740012358.96,GOIÁS
3724,74,2017,PF,MA,PF - Empregado de empresa privada,187970978.22,MARANHÃO
3732,82,2017,PF,MG,PF - Empregado de empresa privada,1562571478.3,MINAS GERAIS
3740,90,2017,PF,MS,PF - Empregado de empresa privada,256493475.98999998,MATO GROSSO DO SUL
3748,98,2017,PF,MT,PF - Empregado de empresa privada,336744888.59,MATO GROSSO
3756,106,2017,PF,PA,PF - Empregado de empresa privada,298116561.16,PARÁ
3764,114,2017,PF,PB,PF - Empregado de empresa privada,125759363.12,PARAÍBA
3772,122,2017,PF,PE,PF - Empregado de empresa privada,411166201.61,PERNAMBUCO
3780,130,2017,PF,PI,PF - Empregado de empresa privada,68066511.99,PIAUÍ
3788,138,2017,PF,PR,PF - Empregado de empresa privada,1159831544.25,PARANÁ
3796,146,2017,PF,RJ,PF - Empregado de empresa privada,2084048730.9,RIO DE JANEIRO
3804,154,2017,PF,RN,PF - Empregado de empresa privada,157068427.37,RIO GRANDE DO NORTE
3812,162,2017,PF,RO,PF - Empregado de empresa privada,64262115.55,RONDÔNIA
3820,170,2017,PF,RR,PF - Empregado de empresa privada,11514427.22,RORAIMA
3828,178,2017,PF,RS,PF - Empregado de empresa privada,1119481015.12,RIO GRANDE DO SUL
3836,186,2017,PF,SC,PF - Empregado de empresa privada,739245017.0500001,SANTA CATARINA
3844,194,2017,PF,SE,PF - Empregado de empresa privada,99443253.04,SERGIPE
3852,202,2017,PF,SP,PF - Empregado de empresa privada,6930134773.3,SÃO PAULO
3860,210,2017,PF,TO,PF - Empregado de empresa privada,55525917.16,TOCANTINS
4406,2,2018,PF,AC,PF - Empregado de empresa privada,14574290.540000001,ACRE
4414,10,2018,PF,AL,PF - Empregado de empresa privada,120566230.42,ALAGOAS
4422,18,2018,PF,AM,PF - Empregado de empresa privada,188310597.55,AMAZONAS
4430,26,2018,PF,AP,PF - Empregado de empresa privada,16044751.27,AMAPÁ
4438,34,2018,PF,BA,PF - Empregado de empresa privada,740908597.0699999,BAHIA
4446,42,2018,PF,CE,PF - Empregado de empresa privada,321655804.01,CEARÁ
4454,50,2018,PF,DF,PF - Empregado de empresa privada,410357909.14,DISTRITO FEDERAL
4462,58,2018,PF,ES,PF - Empregado de empresa privada,350276697.5,ESPÍRITO SANTO
4470,66,2018,PF,GO,PF - Empregado de empresa privada,788475645.82,GOIÁS
4478,74,2018,PF,MA,PF - Empregado de empresa privada,188263603.28,MARANHÃO
4486,82,2018,PF,MG,PF - Empregado de empresa privada,1624452889.11,MINAS GERAIS
4494,90,2018,PF,MS,PF - Empregado de empresa privada,272282845.6,MATO GROSSO DO SUL
4502,98,2018,PF,MT,PF - Empregado de empresa privada,371806308.89,MATO GROSSO
4510,106,2018,PF,PA,PF - Empregado de empresa privada,301971169.48,PARÁ
4518,114,2018,PF,PB,PF - Empregado de empresa privada,140976109.09,PARAÍBA
4526,122,2018,PF,PE,PF - Empregado de empresa privada,439980862.82,PERNAMBUCO
4534,130,2018,PF,PI,PF - Empregado de empresa privada,87249909.48,PIAUÍ
4542,138,2018,PF,PR,PF - Empregado de empresa privada,1270860179.43,PARANÁ
4550,146,2018,PF,RJ,PF - Empregado de empresa privada,2037439862.78,RIO DE JANEIRO
4558,154,2018,PF,RN,PF - Empregado de empresa privada,180418642.53,RIO GRANDE DO NORTE
4566,162,2018,PF,RO,PF - Empregado de empresa privada,65884285.870000005,RONDÔNIA
4574,170,2018,PF,RR,PF - Empregado de empresa privada,14238192.040000001,RORAIMA
4582,178,2018,PF,RS,PF - Empregado de empresa privada,1155598792.98,RIO GRANDE DO SUL
4590,186,2018,PF,SC,PF - Empregado de empresa privada,816545491.82,SANTA CATARINA
4598,194,2018,PF,SE,PF - Empregado de empresa privada,101451025.86,SERGIPE
4606,202,2018,PF,SP,PF - Empregado de empresa privada,7126983023.34,SÃO PAULO
4614,210,2018,PF,TO,PF - Empregado de empresa privada,60700978.62,TOCANTINS
5162,2,2019,PF,AC,PF - Empregado de empresa privada,18771562.15,ACRE
5170,10,2019,PF,AL,PF - Empregado de empresa privada,144080216.77,ALAGOAS
5178,18,2019,PF,AM,PF - Empregado de empresa privada,222128309.57,AMAZONAS
5186,26,2019,PF,AP,PF - Empregado de empresa privada,19019939.07,AMAPÁ
5194,34,2019,PF,BA,PF - Empregado de empresa privada,914899529.83,BAHIA
5202,42,2019,PF,CE,PF - Empregado de empresa privada,411859561.96,CEARÁ
5210,50,2019,PF,DF,PF - Empregado de empresa privada,496452626.15,DISTRITO FEDERAL
5218,58,2019,PF,ES,PF - Empregado de empresa privada,407720233.63,ESPÍRITO SANTO
5226,66,2019,PF,GO,PF - Empregado de empresa privada,1017242384.38,GOIÁS
5234,74,2019,PF,MA,PF - Empregado de empresa privada,257230472.33,MARANHÃO
5242,82,2019,PF,MG,PF - Empregado de empresa privada,1953308355.79,MINAS GERAIS
5250,90,2019,PF,MS,PF - Empregado de empresa privada,357661790.47,MATO GROSSO DO SUL
5258,98,2019,PF,MT,PF - Empregado de empresa privada,450744750.25,MATO GROSSO
5266,106,2019,PF,PA,PF - Empregado de empresa privada,375407235.9,PARÁ
5274,114,2019,PF,PB,PF - Empregado de empresa privada,189614015.04,PARAÍBA
5282,122,2019,PF,PE,PF - Empregado de empresa privada,566736313.83,PERNAMBUCO
5290,130,2019,PF,PI,PF - Empregado de empresa privada,116293059.16,PIAUÍ
5298,138,2019,PF,PR,PF - Empregado de empresa privada,1677962720.64,PARANÁ
5306,146,2019,PF,RJ,PF - Empregado de empresa privada,2443949414.46,RIO DE JANEIRO
5314,154,2019,PF,RN,PF - Empregado de empresa privada,222589567.52,RIO GRANDE DO NORTE
5322,162,2019,PF,RO,PF - Empregado de empresa privada,85281100.82,RONDÔNIA
5330,170,2019,PF,RR,PF - Empregado de empresa privada,17668820.15,RORAIMA
5338,178,2019,PF,RS,PF - Empregado de empresa privada,1421819445.3899999,RIO GRANDE DO SUL
5346,186,2019,PF,SC,PF - Empregado de empresa privada,1015444526.12,SANTA CATARINA
5354,194,2019,PF,SE,PF - Empregado de empresa privada,123491135.78,SERGIPE
5362,202,2019,PF,SP,PF - Empregado de empresa privada,8965511630.52,SÃO PAULO
5370,210,2019,PF,TO,PF - Empregado de empresa privada,68199425.46,TOCANTINS
5922,2,2020,PF,AC,PF - Empregado de empresa privada,18936396.3,ACRE
5930,10,2020,PF,AL,PF - Empregado de empresa privada,164893766.21,ALAGOAS
5938,18,2020,PF,AM,PF - Empregado de empresa privada,260538233.73,AMAZONAS
5946,26,2020,PF,AP,PF - Empregado de empresa privada,21960116.240000002,AMAPÁ
5954,34,2020,PF,BA,PF - Empregado de empresa privada,1067652338.21,BAHIA
5962,42,2020,PF,CE,PF - Empregado de empresa privada,487411084.38,CEARÁ
5970,50,2020,PF,DF,PF - Empregado de empresa privada,572902563.88,DISTRITO FEDERAL
5978,58,2020,PF,ES,PF - Empregado de empresa privada,432158221.59000003,ESPÍRITO SANTO
5986,66,2020,PF,GO,PF - Empregado de empresa privada,1229041870.55,GOIÁS
5994,74,2020,PF,MA,PF - Empregado de empresa privada,305291241.24,MARANHÃO
6002,82,2020,PF,MG,PF - Empregado de empresa privada,2190666679.71,MINAS GERAIS
6010,90,2020,PF,MS,PF - Empregado de empresa privada,452267199.0,MATO GROSSO DO SUL
6018,98,2020,PF,MT,PF - Empregado de empresa privada,561412195.07,MATO GROSSO
6026,106,2020,PF,PA,PF - Empregado de empresa privada,402783834.08,PARÁ
6034,114,2020,PF,PB,PF - Empregado de empresa privada,221993635.54,PARAÍBA
6042,122,2020,PF,PE,PF - Empregado de empresa privada,699308053.83,PERNAMBUCO
6050,130,2020,PF,PI,PF - Empregado de empresa privada,138251053.85999998,PIAUÍ
6058,138,2020,PF,PR,PF - Empregado de empresa privada,1981024179.52,PARANÁ
6066,146,2020,PF,RJ,PF - Empregado de empresa privada,2740788987.87,RIO DE JANEIRO
6074,154,2020,PF,RN,PF - Empregado de empresa privada,258883163.65,RIO GRANDE DO NORTE
6082,162,2020,PF,RO,PF - Empregado de empresa privada,103558707.04,RONDÔNIA
6090,170,2020,PF,RR,PF - Empregado de empresa privada,21647835.4,RORAIMA
6098,178,2020,PF,RS,PF - Empregado de empresa privada,1711158440.21,RIO GRANDE DO SUL
6106,186,2020,PF,SC,PF - Empregado de empresa privada,1213707837.02,SANTA CATARINA
6114,194,2020,PF,SE,PF - Empregado de empresa privada,147231278.67,SERGIPE
6122,202,2020,PF,SP,PF - Empregado de empresa privada,10186001417.29,SÃO PAULO
6130,210,2020,PF,TO,PF - Empregado de empresa privada,80688237.27,TOCANTINS
6682,2,2021,PF,AC,PF - Empregado de empresa privada,24512322.990000002,ACRE
6690,10,2021,PF,AL,PF - Empregado de empresa privada,199160637.71,ALAGOAS
6698,18,2021,PF,AM,PF - Empregado de empresa privada,338682203.11,AMAZONAS
6706,26,2021,PF,AP,PF - Empregado de empresa privada,28344523.54,AMAPÁ
6714,34,2021,PF,BA,PF - Empregado de empresa privada,1266296403.84,BAHIA
6722,42,2021,PF,CE,PF - Empregado de empresa privada,593148236.42,CEARÁ
6730,50,2021,PF,DF,PF - Empregado de empresa privada,726166052.65,DISTRITO FEDERAL
6738,58,2021,PF,ES,PF - Empregado de empresa privada,479626561.09,ESPÍRITO SANTO
6746,66,2021,PF,GO,PF - Empregado de empresa privada,1571329985.05,GOIÁS
6754,74,2021,PF,MA,PF - Empregado de empresa privada,374824600.84000003,MARANHÃO
6762,82,2021,PF,MG,PF - Empregado de empresa privada,2575910216.46,MINAS GERAIS
6770,90,2021,PF,MS,PF - Empregado de empresa privada,569509980.31,MATO GROSSO DO SUL
6778,98,2021,PF,MT,PF - Empregado de empresa privada,690886448.33,MATO GROSSO
6786,106,2021,PF,PA,PF - Empregado de empresa privada,491665514.55,PARÁ
6794,114,2021,PF,PB,PF - Empregado de empresa privada,272526208.51,PARAÍBA
6802,122,2021,PF,PE,PF - Empregado de empresa privada,838719969.24,PERNAMBUCO
6810,130,2021,PF,PI,PF - Empregado de empresa privada,157066883.87,PIAUÍ
6818,138,2021,PF,PR,PF - Empregado de empresa privada,2395666964.36,PARANÁ
6826,146,2021,PF,RJ,PF - Empregado de empresa privada,3322288930.57,RIO DE JANEIRO
6834,154,2021,PF,RN,PF - Empregado de empresa privada,317514974.28000003,RIO GRANDE DO NORTE
6842,162,2021,PF,RO,PF - Empregado de empresa privada,126608193.97,RONDÔNIA
6850,170,2021,PF,RR,PF - Empregado de empresa privada,25487947.419999998,RORAIMA
6858,178,2021,PF,RS,PF - Empregado de empresa privada,2005262343.29,RIO GRANDE DO SUL
6866,186,2021,PF,SC,PF - Empregado de empresa privada,1460564741.99,SANTA CATARINA
6874,194,2021,PF,SE,PF - Empregado de empresa privada,165107922.12,SERGIPE
6882,202,2021,PF,SP,PF - Empregado de empresa privada,11725846323.08,SÃO PAULO
6890,210,2021,PF,TO,PF - Empregado de empresa privada,92783120.92,TOCANTINS
7442,2,2022,PF,AC,PF - Empregado de empresa privada,44957241.5,ACRE
7450,10,2022,PF,AL,PF - Empregado de empresa privada,302491596.61,ALAGOAS
7458,18,2022,PF,AM,PF - Empregado de empresa privada,588391656.4300001,AMAZONAS
7466,26,2022,PF,AP,PF - Empregado de empresa privada,51663343.71,AMAPÁ
7474,34,2022,PF,BA,PF - Empregado de empresa privada,1956824398.11,BAHIA
7482,42,2022,PF,CE,PF - Empregado de empresa privada,974043265.9300001,CEARÁ
7490,50,2022,PF,DF,PF - Empregado de empresa privada,1095567827.82,DISTRITO FEDERAL
7498,58,2022,PF,ES,PF - Empregado de empresa privada,755992515.43,ESPÍRITO SANTO
7506,66,2022,PF,GO,PF - Empregado de empresa privada,2276002114.39,GOIÁS
7514,74,2022,PF,MA,PF - Empregado de empresa privada,559797215.59,MARANHÃO
7522,82,2022,PF,MG,PF - Empregado de empresa privada,4003650061.55,MINAS GERAIS
7530,90,2022,PF,MS,PF - Empregado de empresa privada,802149014.94,MATO GROSSO DO SUL
7538,98,2022,PF,MT,PF - Empregado de empresa privada,1008211499.9,MATO GROSSO
7546,106,2022,PF,PA,PF - Empregado de empresa privada,826341650.18,PARÁ
7554,114,2022,PF,PB,PF - Empregado de empresa privada,423031868.73,PARAÍBA
7562,122,2022,PF,PE,PF - Empregado de empresa privada,1352525333.65,PERNAMBUCO
7570,130,2022,PF,PI,PF - Empregado de empresa privada,251309435.17,PIAUÍ
7578,138,2022,PF,PR,PF - Empregado de empresa privada,3583345761.58,PARANÁ
7586,146,2022,PF,RJ,PF - Empregado de empresa privada,5152102069.58,RIO DE JANEIRO
7594,154,2022,PF,RN,PF - Empregado de empresa privada,504671179.51,RIO GRANDE DO NORTE
7602,162,2022,PF,RO,PF - Empregado de empresa privada,197701892.60999998,RONDÔNIA
7610,170,2022,PF,RR,PF - Empregado de empresa privada,41567085.089999996,RORAIMA
7618,178,2022,PF,RS,PF - Empregado de empresa privada,2883615361.9,RIO GRANDE DO SUL
7626,186,2022,PF,SC,PF - Empregado de empresa privada,2293608134.0,SANTA CATARINA
7634,194,2022,PF,SE,PF - Empregado de empresa privada,261808337.93,SERGIPE
7642,202,2022,PF,SP,PF - Empregado de empresa privada,17785751829.97,SÃO PAULO
7650,210,2022,PF,TO,PF - Empregado de empresa privada,165474060.94,TOCANTINS
